Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Morocco,MAR,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.9991946570209
Morocco,MAR,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.9152024416685
Morocco,MAR,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.3105835270838
Morocco,MAR,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.4827101444723
Morocco,MAR,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.8883738525259
Morocco,MAR,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.9008607613853
Morocco,MAR,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.3220825573733
Morocco,MAR,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.4562294087503
Morocco,MAR,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.0761780516601
Morocco,MAR,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.9424487225058
Morocco,MAR,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.9596198671259
Morocco,MAR,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.2323185106475
Morocco,MAR,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.9178812265718
Morocco,MAR,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.482964575915
Morocco,MAR,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.5862597511482
Morocco,MAR,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.4052749814304
Morocco,MAR,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.8865881745859
Morocco,MAR,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.039815430242
Morocco,MAR,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.3429479761769
Morocco,MAR,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.6558748761114
Morocco,MAR,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.6486860686464
