Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
TOTAL;"All products";6423747;7443743;7988937;7511756;6575644;7512349;7141272;5515545;7026584;8124684;8654136;8413355;8763670;10688955;10692865;11667147;9857335;10051398;10727787;10878056;
;"Agricultural products";735852;1353440;1776573;1212284;819196;1478513;1786948;1147550;819078;1585716;1917318;1401649;926438;1778845;2120093;1935508;1011122;1644487;2037322;1765575;
070200;"Tomatoes, fresh or chilled";63157;258353;296730;112798;81377;294016;305051;89359;95589;280345;311841;108262;120211;311750;360204;221515;125050;325016;419583;241330;
081040;"Fresh cranberries, bilberries and other fruits of the genus Vaccinium";286;2483;112899;61394;82;7927;146846;48450;204;10248;209149;90995;157;4070;130586;162386;1402;7405;134928;174818;
080711;"Fresh watermelons";1985;42;12235;84955;1877;42;18846;128237;6198;40;30365;169669;10441;65;1424;185973;18697;59;582;161149;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";129493;163186;117193;107101;116821;159379;110707;117094;128444;172766;87387;86449;99324;184388;101187;127447;144540;159281;107366;119912;
081020;"Fresh raspberries, blackberries, mulberries and loganberries";9062;57535;111040;49564;12262;72727;99273;30193;18767;80548;129159;65912;6135;93093;136695;88787;6374;106728;141042;112953;
170199;"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";38308;41290;44950;56633;41972;57592;61728;79945;69394;74676;49196;93184;87408;93969;110084;109266;111902;101234;103941;98097;
070820;"Fresh or chilled beans "Vigna spp., Phaseolus spp.", shelled or unshelled";18719;52712;84773;68567;34209;85602;78096;61087;26395;73508;95078;58145;23507;65489;86498;73934;18587;64988;81999;87089;
070960;"Fresh or chilled fruits of the genus Capsicum or Pimenta";10660;36768;52021;35987;10641;39474;48367;33940;15213;45463;74927;37972;12601;41009;66156;60342;20257;40879;83357;74922;
080719;"Fresh melons (excl. watermelons)";1175;401;29700;28857;740;415;29240;27820;1829;269;29844;39303;3019;365;3784;62371;1815;387;9601;66212;
150420;"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ...";16273;27211;13621;6068;19295;24411;30527;13746;13459;29762;12078;8414;17011;27347;27689;15436;39738;73487;43224;46387;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";25149;45357;34432;41605;51571;43401;48616;39675;42941;55633;29960;37427;45697;67393;45774;50271;76686;84649;46916;45539;
081110;"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened";2668;1319;41238;50170;2854;1727;54031;43175;3655;1225;38670;58273;3690;1032;26565;67942;4243;4029;12408;43366;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";37746;36991;41524;43966;38794;33660;37461;31685;37866;33142;37566;43071;37293;36536;41667;42556;34020;30219;32521;40181;
160420;"Prepared or preserved fish (excl. whole or in pieces)";29984;32671;30938;32599;29124;32080;31166;27718;32612;43550;36904;34560;30807;40652;21748;37141;32370;31729;29834;35238;
