Code;Product label;Exported value in 2009-Q1;Exported value in 2009-Q2;Exported value in 2009-Q3;Exported value in 2009-Q4;Exported value in 2010-Q1;Exported value in 2010-Q2;Exported value in 2010-Q3;Exported value in 2010-Q4;Exported value in 2011-Q1;Exported value in 2011-Q2;Exported value in 2011-Q3;Exported value in 2011-Q4;Exported value in 2012-Q1;Exported value in 2012-Q2;Exported value in 2012-Q3;Exported value in 2012-Q4;Exported value in 2013-Q1;Exported value in 2013-Q2;Exported value in 2013-Q3;Exported value in 2013-Q4;
TOTAL;"All products";3284411;3675937;3487704;3636582;4122130;4466764;4203912;5125119;5308813;5827898;5356163;5317724;5656267;5445465;5081369;5462491;5378117;5740812;5229691;5829601;
;"Agricultural products";679984;612663;463419;840458;833483;652656;437872;879732;957966;729529;453621;884281;854102;716546;499707;866639;853417;814760;626751;1088578;
080520;"Fresh or dried mandarins incl. tangerines and satsumas, clementines, wilkings and similar citrus ...";55774;423;291;141436;102828;6286;4151;149458;129084;5017;1661;209003;90080;677;58;144235;117977;450;4273;216762;
070200;"Tomatoes, fresh or chilled";110282;67701;13597;110790;110832;49997;5245;141426;145571;94679;19547;169199;177534;82030;14437;127638;130769;104838;28150;170510;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";93994;78071;97541;127936;108448;70648;103165;115497;68160;52069;66951;109977;96608;101521;95016;127958;102135;104638;103531;139220;
070820;"Fresh or chilled beans "Vigna spp., Phaseolus spp.", shelled or unshelled";24371;31152;18075;56077;32532;46934;9197;45161;48075;41127;14892;32167;36618;26562;13208;22550;21441;35803;20338;59016;
070990;"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...";18441;8166;1882;17142;13153;7171;684;19581;22695;7761;1581;14698;22297;9002;2099;10872;9250;16006;4846;44065;
040630;"Processed cheese, not grated or powdered";26832;21262;20166;26690;22258;22959;24252;22871;26511;21270;21018;21432;26552;26627;28307;33332;28309;33661;42574;36798;
160420;"Prepared or preserved fish (excl. whole or in pieces)";18727;21532;24279;32481;17796;21569;17534;26808;23405;29117;27970;26632;27101;23950;28172;24966;26697;26877;32611;31825;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";32867;36459;33827;28297;38562;43157;29939;32007;36639;45778;32922;29946;33277;42586;27367;29668;33845;43261;30239;29770;
070960;"Fresh or chilled fruits of the genus Capsicum or Pimenta";12491;12283;5721;11347;14182;16777;2597;19781;18238;15935;3826;16339;22841;12671;4356;14733;15631;18538;10624;29633;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";13428;8547;18514;53159;20449;38573;23396;41151;36859;9277;8044;20972;15426;14212;27570;48265;33639;28674;23995;25650;
160415;"Prepared or preserved mackerel, whole or in pieces (excl. minced)";10934;13776;16087;17758;11745;10747;15218;18154;13107;13569;23672;18206;14778;16143;18246;19770;16166;20498;21774;17428;
071130;"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...";4603;5082;6707;6848;5268;4677;5746;7884;7297;6402;6636;8026;7828;6213;9645;11317;8582;7683;9239;14337;
110100;"Wheat or meslin flour";5776;6771;5518;6327;9585;6704;7574;8544;8610;14670;16017;8135;13078;16235;19512;19057;24018;25536;18315;10968;
160416;"Prepared or preserved anchovies, whole or in pieces (excl. minced)";7752;10714;14871;15179;13889;14105;13916;13229;11147;13227;10622;11116;9228;11888;10462;11789;10176;11528;10200;10705;
080510;"Fresh or dried oranges";61961;40681;239;8047;55397;47555;2888;15654;73591;41586;2300;14328;40388;33819;1384;7129;29915;19592;1562;10580;
121190;"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...";6650;5080;4277;6251;7225;4628;5030;8282;11699;6639;5980;7562;9268;6484;5364;8827;8075;7920;7795;10410;
