Code	Product label	Exported value in 2004-Q2	Exported value in 2004-Q3	Exported value in 2004-Q4	Exported value in 2005-Q1	Exported value in 2005-Q2	Exported value in 2005-Q3	Exported value in 2005-Q4	Exported value in 2006-Q1	Exported value in 2006-Q2	Exported value in 2006-Q3	Exported value in 2006-Q4	Exported value in 2007-Q1	Exported value in 2007-Q2	Exported value in 2007-Q3	Exported value in 2007-Q4	Exported value in 2008-Q1	Exported value in 2008-Q2	Exported value in 2008-Q3	Exported value in 2008-Q4	Exported value in 2009-Q1	
TOTAL	"All products"	2440284	2339207	2682325	2810480	2761899	2580202	3161896	3039461	3418041	3032522	3405264	3691337	3660632	3434303	3911880	4698001	6234253	5379921	3465142	3284411	
	"Agricultural products"	369119	235586	479294	619762	428385	288912	580885	600327	495674	341391	596607	670506	525629	319154	604486	684342	720739	422809	629130	679984	
070200	"Tomatoes, fresh or chilled"	11837	155	52720	80450	15031	353	49215	52547	24248	1994	59093	101063	25580	2285	75892	85647	26771	10205	103710	110282	
160413	"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ..."	49220	50420	65891	60537	52572	72835	78873	70337	59838	85741	95745	71414	53614	65783	119834	117556	87960	99101	93306	93994	
080510	"Fresh or dried oranges"	35782	525	14814	69613	42472	920	7532	60913	53857	670	9315	52960	41455	850	8019	93111	86520	998	9892	61961	
080520	"Fresh or dried mandarins incl. tangerines and satsumas, clementines, wilkings and similar citrus ..."	503	81	120929	97315	5838	0	124770	62790	2528	20	139643	59165	1701	19	101971	53097	1733	339	126368	55774	
200570	"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)"	32448	22869	19591	24239	30505	21276	20890	27309	29532	22101	15156	23552	33389	26536	18891	29337	52969	35709	27494	32867	
040630	"Processed cheese, not grated or powdered"	13234	11270	14283	14738	18116	17495	22840	25202	26500	22468	24033	24424	21747	24750	27702	26082	27594	25137	17125	26832	
070820	"Fresh or chilled beans "Vigna spp., Phaseolus spp.", shelled or unshelled"	19888	2374	19845	23200	22068	2856	20091	29854	23618	5184	25181	43624	30164	7008	27440	19993	38339	9552	20831	24371	
160420	"Prepared or preserved fish (excl. whole or in pieces)"	14232	13001	15575	15525	16257	15782	15256	13611	18278	16157	18018	16530	18501	16580	16373	18381	24622	25046	19975	18727	
070990	"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ..."	1953	154	7666	15120	2180	264	9939	18642	1649	819	12498	25849	2208	640	10162	14089	4506	886	12165	18441	
081010	"Fresh strawberries"	2149	395	1341	25706	2464	50	1983	17557	2239	262	4731	15870	4843	33	2187	9565	3308	52	1174	14156	
230120	"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ..."	4491	4283	3368	8203	5775	3941	17431	7808	6680	11408	17075	15286	7896	5569	3728	7217	18395	15980	19114	13428	
070960	"Fresh or chilled fruits of the genus Capsicum or Pimenta"	4251	678	6880	8593	5405	534	7952	8826	5334	874	6413	13381	8881	1732	6559	10732	10605	2138	9647	12491	
160415	"Prepared or preserved mackerel, whole or in pieces (excl. minced)"	6868	7331	7952	7600	8495	11095	10963	8801	10976	13875	14272	12825	12453	11444	12672	11788	11921	15608	11030	10934	
050400	"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ..."	7944	10801	11166	9018	8284	11771	12254	9504	13339	11845	13759	7750	6190	12382	7915	6118	6464	6767	6837	9639	
121210	"Locust beans, incl. locust bean seed, fresh, chilled, frozen or dried, whether or not ground"	3263	2663	14673	12877	5607	4973	12540	7266	5516	5602	17003	7714	5709	2222	13592	5504	4426	2911	10268	8525	
210111	"Extracts, essences and concentrates, of coffee"	4261	5138	2714	3600	4403	3644	4198	4305	5390	5585	6469	5996	6617	8192	8091	4615	7316	8588	9312	8250	
080719	"Fresh melons (excl. watermelons)"	18336	139	448	1968	28539	127	667	4053	32746	256	1464	7615	41288	395	1288	8740	42016	681	2931	8202	
160416	"Prepared or preserved anchovies, whole or in pieces (excl. minced)"	9597	11803	11074	9569	11342	9905	9433	8632	10729	11430	10910	8839	10597	10922	10983	8859	11098	10127	8641	7752	
121190	"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ..."	2866	4404	3982	7298	3991	4215	5129	7211	4815	4781	5576	8384	4669	4888	5601	6948	6593	7260	5529	6650	
110100	"Wheat or meslin flour"	3526	8013	2758	3940	3907	4212	6345	5625	5856	6336	6319	6992	10751	13374	13190	6425	7094	7099	13178	5776	
160520	"Shrimps and prawns, prepared or preserved"	0	0	0	0	0	1106	597	0	0	180	1001	0	3400	823	2039	2625	2970	4380	4657	5217	
130231	"Agar-agar, whether or not modified"	4974	4416	5387	4488	4933	5058	5206	5880	5997	5424	5793	7835	6150	5961	7100	5568	6789	5398	5031	5132	
210690	"Food preparations, n.e.s."	2138	2096	2380	2943	4004	3096	3078	3537	3704	3654	3801	2974	3823	3888	4245	4371	5952	5750	2419	4990	
200850	"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ..."	3116	6862	5162	4141	4028	5188	3976	4084	3806	5601	4942	4217	4165	7459	5652	5278	3692	7282	4084	4697	
071130	"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ..."	2325	3671	3346	2734	3055	4721	3250	3698	3319	5203	4821	4372	4697	5625	6173	6571	6337	8573	4820	4603	
240220	"Cigarettes, containing tobacco"	5	0	0	0	2	0	0	1761	2724	2734	2463	0	0	36	0	0	1189	258	917	4414	
330190	"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ..."	2769	1915	2648	2242	1561	1381	1450	2093	2011	1859	2293	2784	3519	3469	3323	3937	5139	4007	4158	3843	
170490	"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)"	439	1107	1249	1402	1112	1545	1606	1977	1838	1519	1893	2413	1982	2217	2166	2716	2674	2637	3168	3770	
081110	"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened"	12381	625	6	4888	19567	537	91	4943	19545	877	128	19436	47101	2596	539	2143	60334	2632	285	3600	
070952	"Fresh or chilled mushrooms of the genus Boletus"	219	131	69	377	19	251	430	1969	264	19	595	4436	217	98	33	962	680	0	1452	3510	
070190	"Fresh or chilled potatoes (excl. seed)"	7126	1	133	10649	5506	0	41	9294	3091	0	0	12419	5270	0	22	14598	6703	103	96	3480	
150790	"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)"	714	0	92	0	77	0	0	48	174	14	0	1512	2257	3849	4226	2696	4263	2525	1387	3372	
220290	"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)"	3099	2486	3862	5813	6628	6670	2525	1320	2332	2811	3224	3025	1978	1852	1601	1702	1876	2176	1524	3058	
130232	"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ..."	5667	3409	6303	6004	6492	5887	6716	5132	5614	3204	4667	5242	2789	3835	3111	5021	3068	2099	2978	2947	
150420	"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ..."	1643	5989	9128	2377	1	4051	9841	3137	2072	4911	7055	3787	137	7058	11077	8474	9535	10315	8321	2945	
200190	"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ..."	2066	1178	1704	1664	1690	1387	1555	1469	1737	1020	2059	1641	1969	2275	2684	2766	2516	3116	2365	2736	
200290	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. whole or in ..."	2149	1619	3742	2247	1357	3194	1998	1387	2644	704	1660	2375	3244	2325	2206	2343	2973	598	2375	2713	
080550	"Fresh or dried lemons "Citrus limon, Citrus limonum" and limes "Citrus aurantifolia, Citrus ..."	3	2	0	22	1	0	0	1	1	0	41	129	1	13	1506	4208	1035	137	2062	2530	
190240	"Couscous, whether or not prepared"	934	980	861	810	1576	1153	1156	1012	1424	1103	1164	1588	2068	1629	1688	1981	3588	2980	730	2352	
121110	"Liquorice roots, fresh or dried, whether or not cut, crushed or powdered"	0	0	0	354	0	0	24	0	0	0	0	625	351	268	259	768	462	442	355	2341	
080440	"Fresh or dried avocados"	29	0	0	33	78	2	37	137	46	4	76	569	330	498	1018	723	837	397	547	2255	
151590	"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ..."	211	213	331	282	352	318	620	390	636	616	1212	965	1265	1346	2226	1862	2837	2852	2323	2238	
070920	"Fresh or chilled asparagus"	15	0	73	378	1	0	104	1029	156	29	15	3617	620	0	59	1047	1330	3	59	2152	
121299	"Fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the ..."	338	4	141	6427	599	9	118	2275	399	5	6	2734	361	3	29	2687	95	9	8	2023	
330129	"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excl. those of citrus ..."	2683	2627	2337	1924	2145	1592	1820	2453	2637	3453	2280	2437	3164	4005	1911	3883	4876	4337	2454	1944	
121220	"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground"	822	2880	2774	769	1272	7001	4604	1648	3020	10606	3682	2100	1539	2664	5737	2281	1985	2577	2038	1594	
200590	"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ..."	950	554	1111	411	713	1156	809	1001	1362	757	1161	1307	1955	2059	2213	2562	1952	1863	1580	1574	
060310	"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes"	203	49	118	2413	646	71	703	2166	618	43	1311	2138	446	124	632	1221	1152	224	560	1487	
090920	"Coriander seeds"	507	732	1218	1353	812	595	1062	531	750	526	315	603	616	1416	1398	1432	2856	3655	2158	1385	
