Code	Product label	Exported value in 2000-Q1	Exported value in 2000-Q2	Exported value in 2000-Q3	Exported value in 2000-Q4	Exported value in 2001-Q1	Exported value in 2001-Q2	Exported value in 2001-Q3	Exported value in 2001-Q4	Exported value in 2002-Q1	Exported value in 2002-Q2	Exported value in 2002-Q3	Exported value in 2002-Q4	Exported value in 2003-Q1	Exported value in 2003-Q2	Exported value in 2003-Q3	Exported value in 2003-Q4	Exported value in 2004-Q1	Exported value in 2004-Q2	
TOTAL	"All products"	1990365	1792098	1739703	1908783	1869782	1660647	1750392	1888059	1918890	1944099	1949105	2070880	2126261	2236155	2137839	2369202	2562075	2440284	
	"Agricultural products"	332441	224801	127046	232257	301359	207165	161254	326090	326750	242394	186455	350375	405070	337625	209269	438714	502772	369119	
160413	"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ..."	28948	30761	29098	38508	31137	29979	43450	44564	35039	30068	51673	51092	54738	46738	54856	68123	68688	49220	
080510	"Fresh or dried oranges"	54660	41191	14	7169	56170	25439	615	6953	43304	33365	108	4216	49598	50870	265	7675	52509	35782	
200570	"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)"	19744	21110	15004	13989	18634	24349	15386	15028	20840	23487	16147	15344	20067	21518	18699	15022	29413	32448	
070820	"Fresh or chilled beans "Vigna spp., Phaseolus spp.", shelled or unshelled"	4151	7702	627	4479	6233	9043	1473	6420	9553	9806	1274	12323	13720	8412	3047	18310	25651	19888	
080719	"Fresh melons (excl. watermelons)"	681	6718	72	646	2935	5763	249	833	2715	9091	44	1357	588	11062	23	695	1703	18336	
160420	"Prepared or preserved fish (excl. whole or in pieces)"	6803	8306	7323	6702	5908	7357	7926	7480	7153	8328	7967	9598	11067	13588	10515	11313	12413	14232	
150910	"Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ..."	179	258	86	122	13	74	26	77	594	56	36	31	12	60	111	5973	17438	14146	
040630	"Processed cheese, not grated or powdered"	4295	4243	4726	6114	4612	5158	5420	9206	6969	5913	8190	11283	8975	11043	11467	10798	10312	13234	
081110	"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened"	2297	9364	394	7	1213	6676	173	75	2055	11447	553	76	5597	19231	531	76	6276	12381	
070200	"Tomatoes, fresh or chilled"	44549	7075	199	30841	40677	3237	439	40005	43385	9813	185	46612	46611	7765	237	66683	51539	11837	
160416	"Prepared or preserved anchovies, whole or in pieces (excl. minced)"	7507	8380	8139	7489	7839	8884	8553	8724	7900	9350	8376	8905	9745	12640	11671	10964	8289	9597	
050400	"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ..."	1740	2495	2205	1469	1830	2195	2566	2102	1820	2304	3668	2719	3225	6615	8331	6496	5470	7944	
070190	"Fresh or chilled potatoes (excl. seed)"	14988	2695	7	272	11157	2223	5	436	8712	3091	25	88	7761	4883	17	5	11904	7126	
160415	"Prepared or preserved mackerel, whole or in pieces (excl. minced)"	1922	3265	3402	3470	2168	3448	3848	5423	4495	3252	5419	7230	5887	5941	6384	5666	5301	6868	
080610	"Fresh grapes"	20	1277	144	18	60	1842	29	0	0	2047	317	0	0	5337	225	1	1	6428	
130232	"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ..."	1632	1200	2112	2733	4589	3050	1723	3121	3674	2307	1604	3053	3899	3513	3210	3695	5806	5667	
150990	"Olive oil "EU cat. 4 and 5" and fractions obtained from the fruit of the olive tree solely ..."	33	20	19	14	0	17	0	9	14	133	189	23	0	3	0	1339	11872	5472	
130231	"Agar-agar, whether or not modified"	5041	5109	4445	5548	4209	5373	3663	5038	3883	4704	4261	5267	4374	4174	4306	5868	5278	4974	
230120	"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ..."	439	626	977	4765	3420	2270	5867	15889	4371	3497	3317	2912	8491	9013	2278	5979	4652	4491	
220429	"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ..."	1160	2360	1715	273	2128	1759	211	1268	3226	2457	250	1758	2199	3520	397	2174	2714	4285	
210111	"Extracts, essences and concentrates, of coffee"	3700	3788	4146	3681	3022	3056	2316	2542	3807	3329	3693	4138	4210	3830	3640	4726	3955	4261	
070960	"Fresh or chilled fruits of the genus Capsicum or Pimenta"	2033	1442	78	1367	2884	1478	282	1991	2643	2331	516	3062	2903	2966	404	6324	7204	4251	
110100	"Wheat or meslin flour"	7047	3085	586	2793	6455	8746	4682	8402	8909	6986	11530	3361	9244	17791	2775	1636	2564	3526	
121210	"Locust beans, incl. locust bean seed, fresh, chilled, frozen or dried, whether or not ground"	5405	2720	425	1496	4	1440	1807	5140	2480	1440	2307	6136	4571	3603	4165	10777	4749	3263	
080930	"Fresh peaches, incl. nectarines"	53	2586	56	1	636	1304	14	8	346	1446	4	0	545	1464	44	0	1415	3181	
200850	"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ..."	2994	3051	4241	2541	1954	2581	6756	2977	1713	2124	6662	4136	3024	2427	7823	4810	3739	3116	
220290	"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)"	788	1200	1010	1164	835	1200	1029	1034	1497	2085	1252	1450	1318	2109	1349	2912	2658	3099	
151211	"Crude sunflower-seed or safflower oil"	0	0	0	0	0	4	0	0	9	4	0	0	0	1	2	0	6295	3012	
121190	"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ..."	3625	2967	2743	3461	4176	2724	2472	4033	4165	3374	3491	4246	4994	3083	3786	4684	4725	2866	
330190	"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ..."	2913	1347	1480	1493	1857	1391	1257	2159	1987	1507	808	2386	2351	1064	1492	1508	1924	2769	
330129	"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excl. those of citrus ..."	1377	1538	1565	992	1046	1696	2094	1783	1212	2822	3010	2879	2112	3095	3102	1791	2188	2683	
151000	"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ..."	264	77	11	0	3	41	0	0	240	308	192	55	141	175	13	242	3342	2661	
071130	"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ..."	3666	3125	4466	4877	4245	3318	5772	5343	3466	5067	6355	4145	4046	3188	5288	5091	3425	2325	
081010	"Fresh strawberries"	14964	3584	154	1438	12922	3101	123	2518	15653	2895	321	2882	13692	1803	137	637	21792	2149	
200290	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. whole or in ..."	2500	1357	912	1741	1129	26	251	2307	1456	944	603	904	1796	2043	369	1267	943	2149	
