Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
TOTAL;"All products";6423747;7443743;7988937;7511756;6575644;7512349;7141272;5515545;7026584;8124684;8654136;8413355;8763670;10688955;10692865;11667147;9857335;10051398;10727787;10878056;
;"Leather";97982;95443;99006;87411;93124;90126;100933;35914;89683;83045;90319;84715;95485;97714;107222;99684;108998;112392;112812;99937;
640399;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...";12617;17463;23817;14839;11156;15634;30298;8956;14808;14902;20714;15957;9739;14655;31128;22260;20437;22175;32054;22086;
640610;"Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)";17117;18593;16087;17737;17771;16253;14947;7610;12899;11152;11074;14259;14433;18327;17697;23801;21008;20096;17553;17371;
640299;"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...";3971;6494;14403;6113;3634;8228;21436;4897;7365;5558;21452;9013;4765;9982;18636;9540;5741;11270;18206;9624;
420221;"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...";5606;6713;5741;5389;5437;6537;4551;1929;4975;5320;5035;4979;4458;5807;5949;5946;5486;6694;6784;7409;
640291;"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excl. waterproof ...";8017;1381;275;3387;9072;2280;25;318;7789;4329;46;5557;16509;3118;81;4535;13790;2476;338;7220;
640590;"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ...";4283;4371;2377;2197;3039;3388;3242;931;5002;5006;2676;2908;4076;5074;5873;3740;4025;6836;5231;6637;
420100;"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...";3076;3689;3249;2979;3405;3351;3282;1522;3321;3958;3857;4249;3599;4417;4402;3751;3266;3593;4193;3900;
640391;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...";18671;8071;5010;4860;14335;9487;3064;946;11441;9380;1975;4285;14677;10534;1740;3882;11432;10939;3256;3899;
