Code	Product label	Exported value in 2013-Q4	Exported value in 2014-Q1	Exported value in 2014-Q2	Exported value in 2014-Q3	Exported value in 2014-Q4	Exported value in 2015-Q1	Exported value in 2015-Q2	Exported value in 2015-Q3	Exported value in 2015-Q4	Exported value in 2016-Q1	Exported value in 2016-Q2	Exported value in 2016-Q3	Exported value in 2016-Q4	Exported value in 2017-Q1	Exported value in 2017-Q2	Exported value in 2017-Q3	Exported value in 2017-Q4	Exported value in 2018-Q1	Exported value in 2018-Q2	Exported value in 2018-Q3	
TOTAL	"All products"	5829601	5946164	6570874	5554216	5619868	5743628	5815379	5055121	5582839	5939203	5953833	5007057	5943890	6385469	6245454	5893626	7082305	7747827	7714978	6423747	
	"Leather"	101370	120070	101079	104579	97346	102200	88195	88119	82331	102573	90591	84364	92565	95962	94020	96729	92543	111618	95317	97982	
640391	"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ..."	6276	5839	7847	19486	8528	3635	5468	16218	5008	4002	7802	11645	6393	2688	10522	15647	5770	6548	10207	18671	
640610	"Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)"	19575	21704	24000	20385	20172	17690	20645	15257	17492	17923	19066	14990	18131	16415	20115	19641	19593	18156	19481	17117	
640399	"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ..."	28275	41755	23990	20410	23656	31972	19956	18293	19740	31342	20701	18426	20592	26031	14525	13019	18843	27565	15404	12617	
640291	"Footwear covering the ankle, with outer soles and uppers of rubber or plastics (excl. waterproof ..."	2496	256	3862	5780	1227	183	2730	6120	2119	217	2360	4595	1689	561	2936	8318	2069	576	2667	8017	
420221	"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ..."	5022	4889	5733	5230	5835	5501	5045	4413	4443	5622	5124	5185	6117	5766	6438	5756	6141	6754	5347	5606	
640510	"Footwear with uppers of leather or composition leather (excl. with outer soles of rubber, plastics, ..."	4503	3212	1751	2273	2715	3346	4615	4253	4065	5654	6237	5539	7189	7436	7511	8789	7458	5272	6421	5451	
640590	"Footwear with outer soles of rubber or plastics, with uppers other than rubber, plastics, leather ..."	2589	3722	2818	4470	1898	2783	2597	3407	2647	3032	2996	3345	2979	2756	2839	2446	2893	3828	2312	4283	
640299	"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ..."	2977	10652	2330	749	3996	9491	1662	1224	2786	9177	3168	2006	3632	10454	5469	3189	5388	13915	6806	3971	
420100	"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ..."	1444	1324	1831	1198	1374	1409	1395	896	1669	2194	2939	2538	2794	3023	2801	2738	3758	3988	3393	3076	
640419	"Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ..."	1386	2386	2145	2222	3107	4412	4784	2687	2254	3557	2739	1410	1416	1879	1300	975	882	4245	3913	2335	
640219	"Sports footwear with outer soles and uppers of rubber or plastics (excl. waterproof footwear ..."	0	25	0	0	0	2164	1834	845	2019	1767	1787	1153	1905	1749	1668	1904	1924	1684	2255	2304	
640359	"Footwear with outer soles and uppers of leather (excl. covering the ankle, incorporating a ..."	4738	5038	4568	2864	3548	4235	2358	2239	2566	2276	1977	1245	3049	1797	2425	1233	1599	3080	2019	1500	
420330	"Belts and bandoliers, of leather or composition leather"	3438	2211	1910	1752	2419	1767	1763	1429	1843	1763	2362	2197	2236	1668	1753	2073	2024	1876	1517	1438	
640192	"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ..."	2057	2533	2550	2257	2226	1	0	0	0	4	0	0	0	6	190	1440	2206	1758	2042	1357	
420329	"Gloves, mittens and mitts, of leather or composition leather (excl. special sports gloves)"	1230	1416	1369	903	1095	976	1081	697	1254	1173	986	924	1291	1168	1528	1329	1769	1650	1504	1241	
640520	"Footwear with uppers of textile materials (excl. with outer soles of rubber, plastics, leather ..."	1578	1101	954	866	847	935	897	749	1347	1583	779	1091	1498	1441	1674	1287	1426	1166	1051	1041	
420310	"Articles of apparel, of leather or composition leather (excl. clothing accessories, footware ..."	2383	1963	1821	3254	2385	2009	1742	2169	1801	1684	935	1897	1865	1653	958	1416	1729	1155	1487	970	
420231	"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ..."	835	760	1007	758	988	725	626	739	680	921	1076	762	1112	981	1002	823	1277	1320	830	921	
420211	"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ..."	774	1236	1377	1104	992	922	997	777	759	1227	1119	813	1203	908	944	673	852	1007	914	884	
640620	"Outer soles and heels, of rubber or plastics"	977	735	705	291	721	630	390	370	442	404	547	369	530	584	930	625	1033	909	919	826	
420299	"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ..."	397	507	500	415	410	288	280	401	305	314	354	396	456	525	361	336	359	498	515	649	
420500	"Articles of leather or composition leather (excl. saddlery and harness bags; cases and similar ..."	890	1248	1006	1224	996	952	862	891	931	527	483	348	433	736	748	677	838	743	605	566	
