Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
TOTAL;"All products";1990365;1792098;1739703;1908783;1869782;1660647;1750392;1888059;1918890;1944099;1949105;2070880;2126261;2236155;2137839;2369202;2562075;2440284;
;"Leather";58295;55548;63902;58893;65345;55011;61056;52198;62621;61392;62445;53858;73497;64659;77078;60015;77900;67098;
640399;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...";14925;12659;14010;10624;16179;13627;16938;12749;18230;14569;17032;14500;29822;22046;25647;20276;34217;22625;
640610;"Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)";9742;10972;10162;8375;9562;10334;10489;13104;11893;15212;12497;15898;16331;18155;18537;15432;17292;17322;
420310;"Articles of apparel, of leather or composition leather (excl. clothing accessories, footware ...";3162;1674;4639;4770;1951;2756;6244;4478;2706;3662;6142;5655;3290;4998;7909;5208;2272;5466;
640359;"Footwear with outer soles and uppers of leather (excl. covering the ankle, incorporating a ...";4582;1372;929;1479;2831;1129;1288;2939;3868;2535;1960;4065;6340;2939;2794;4462;5382;2909;
640419;"Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...";315;350;590;692;301;276;382;190;825;915;646;580;1811;1168;1009;762;2419;2867;
640391;"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...";1248;1354;1821;290;38;610;2854;999;1135;2626;3706;1030;1087;1875;7067;2056;535;2402;
420221;"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...";1884;1245;1871;1405;1862;1825;2359;1387;1792;1528;2197;1531;2366;2293;1837;1683;1985;1840;
640510;"Footwear with uppers of leather or composition leather (excl. with outer soles of rubber, plastics, ...";2256;2666;2298;1033;2743;1721;3425;1727;3903;3313;1880;889;2366;2331;2260;1256;4309;1688;
420329;"Gloves, mittens and mitts, of leather or composition leather (excl. special sports gloves)";1614;1979;1431;1408;1362;1228;862;1105;1334;1397;1303;1675;1786;1388;695;996;1137;1183;
420500;"Articles of leather or composition leather (excl. saddlery and harness bags; cases and similar ...";119;184;181;233;230;227;267;238;330;355;268;633;559;461;237;346;667;734;
420291;"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...";94;171;85;236;246;371;406;510;346;516;288;300;299;126;165;248;665;721;
640299;"Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...";1380;200;3;123;794;228;207;94;372;501;77;264;144;210;64;57;457;608;
640192;"Waterproof footwear covering the ankle, but not the knee, with outer soles and uppers of rubber ...";601;732;781;865;825;932;695;937;904;835;467;504;480;1051;777;1021;559;569;
420330;"Belts and bandoliers, of leather or composition leather";107;56;118;61;137;84;99;116;493;661;605;454;683;542;440;520;625;557;
420292;"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...";293;477;285;658;519;256;132;513;338;393;461;832;858;609;762;574;393;538;
420211;"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...";768;1023;875;899;837;834;607;717;422;670;863;789;1032;764;619;808;634;528;
420100;"Saddlery and harness for any animal, incl. traces, leads, knee pads, muzzles, saddle cloths, ...";186;149;131;212;169;259;151;167;218;241;253;411;302;314;289;316;351;498;
640699;"Parts of footwear (excluding outer soles and heels of rubber or plastics, uppers and parts ...";687;680;576;749;905;857;612;882;728;581;182;223;367;298;436;316;465;484;
640520;"Footwear with uppers of textile materials (excl. with outer soles of rubber, plastics, leather ...";507;285;552;492;286;268;797;642;453;508;866;339;203;262;964;334;335;434;
640620;"Outer soles and heels, of rubber or plastics";617;637;406;258;527;395;394;590;577;449;406;445;328;373;306;533;346;421;
420212;"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers, ...";391;350;443;473;380;302;186;396;341;411;216;318;279;263;185;175;383;382;
420219;"Trunks, suitcases, vanity cases, executive-cases, briefcases, school satchels and similar containers ...";7;22;1;0;9;24;10;30;5;2;96;5;4;235;49;217;30;340;
420222;"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...";37;23;66;35;164;66;49;127;130;255;173;183;241;215;349;279;638;305;
420231;"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...";210;192;229;337;208;261;355;560;391;433;305;334;358;353;300;282;211;264;
