Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
TOTAL;"All products";6423747;7443743;7988937;7511756;6575644;7512349;7141272;5515545;7026584;8124684;8654136;8413355;8763670;10688955;10692865;11667147;9857335;10051398;10727787;10878056;
;"Processed food and agro-based products";750833;702194;838759;760138;702685;696763;807619;652629;762261;777635;864963;862623;960234;882844;1060766;1011092;851474;829201;1050748;901614;
030743;"Cuttle fish and squid, frozen, with or without shell";35704;45392;68281;72584;68264;63268;74365;62983;91764;83804;106737;95355;120990;82499;84258;97100;67160;65466;144255;134934;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";129493;163186;117193;107101;116821;159379;110707;117094;128444;172766;87387;86449;99324;184388;101187;127447;144540;159281;107366;119912;
170199;"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";38308;41290;44950;56633;41972;57592;61728;79945;69394;74676;49196;93184;87408;93969;110084;109266;111902;101234;103941;98097;
030752;"Octopus "Octopus spp.", frozen";183943;69029;198192;80577;97086;57400;162764;49763;146823;48653;238293;133250;258020;61493;352942;125839;93481;29584;284728;74914;
150420;"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ...";16273;27211;13621;6068;19295;24411;30527;13746;13459;29762;12078;8414;17011;27347;27689;15436;39738;73487;43224;46387;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";25149;45357;34432;41605;51571;43401;48616;39675;42941;55633;29960;37427;45697;67393;45774;50271;76686;84649;46916;45539;
081110;"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened";2668;1319;41238;50170;2854;1727;54031;43175;3655;1225;38670;58273;3690;1032;26565;67942;4243;4029;12408;43366;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";37746;36991;41524;43966;38794;33660;37461;31685;37866;33142;37566;43071;37293;36536;41667;42556;34020;30219;32521;40181;
