Code	Product label	Exported value in 2013-Q4	Exported value in 2014-Q1	Exported value in 2014-Q2	Exported value in 2014-Q3	Exported value in 2014-Q4	Exported value in 2015-Q1	Exported value in 2015-Q2	Exported value in 2015-Q3	Exported value in 2015-Q4	Exported value in 2016-Q1	Exported value in 2016-Q2	Exported value in 2016-Q3	Exported value in 2016-Q4	Exported value in 2017-Q1	Exported value in 2017-Q2	Exported value in 2017-Q3	Exported value in 2017-Q4	Exported value in 2018-Q1	Exported value in 2018-Q2	Exported value in 2018-Q3	
TOTAL	"All products"	5829601	5946164	6570874	5554216	5619868	5743628	5815379	5055121	5582839	5939203	5953833	5007057	5943890	6385469	6245454	5893626	7082305	7747827	7714978	6423747	
	"Processed food and agro-based products"	522812	566874	655892	638488	597400	669958	618929	611585	633243	735654	727363	666262	641811	773819	701485	739149	692024	814563	773480	750833	
030752	"Octopus "Octopus spp.", frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	191914	91406	160519	98149	223039	124007	183943	
160413	"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ..."	139220	101715	110975	122284	133556	90114	87892	107318	126380	105012	102979	88995	119850	99466	111056	110765	142724	101350	110951	129493	
170199	"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ..."	2095	959	481	456	1569	5691	25358	20920	27156	22345	38021	42385	69471	71695	63006	46520	36224	36601	42443	38308	
200570	"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)"	29770	41999	51144	38896	33869	31922	31912	26630	24928	34296	40919	32118	27321	35515	37869	33632	31220	39339	45147	37746	
030743	"Cuttle fish and squid, frozen, with or without shell"	0	0	0	0	0	0	0	0	0	0	0	0	0	77925	65310	64930	43074	65438	67343	35704	
160420	"Prepared or preserved fish (excl. whole or in pieces)"	31825	21517	33011	31007	28961	21443	32876	29922	31678	28132	33924	27210	24586	23593	24666	28287	33094	29246	29387	29984	
230120	"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ..."	25650	33131	42882	23624	67935	38595	27327	24313	59214	34530	49511	42277	42873	29898	27428	53193	43007	40265	34099	25149	
210690	"Food preparations, n.e.s."	7617	9367	9832	7737	7850	8696	8595	8452	9177	10461	10412	10752	11112	10684	10386	11911	21310	22095	22545	23377	
160521	"Shrimps and prawns, prepared or preserved, not in airtight containers (excl. smoked)"	0	0	0	0	0	2179	2073	1741	2375	1433	801	1643	2511	1440	3733	6271	7838	5939	8499	17336	
150420	"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ..."	7603	15041	13546	19302	26851	28509	11382	22055	37014	11007	12238	25637	29509	14281	11836	20338	25760	8438	12097	16273	
240210	"Cigars, cheroots and cigarillos containing tobacco"	2357	14562	14892	15607	11743	11227	11751	13324	10462	10701	10615	11770	9697	10528	11118	13838	12903	14376	13381	15108	
150910	"Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ..."	2010	6706	8721	9207	9943	21069	25402	12932	9178	18391	13788	8401	3667	7140	13170	4795	4692	4103	14018	14776	
160416	"Prepared or preserved anchovies, whole or in pieces (excl. minced)"	10705	11016	12488	10368	7131	6519	8931	8733	9297	5845	9262	7297	9557	8578	11862	13211	13801	12316	14650	14716	
160415	"Prepared or preserved mackerel, whole or in pieces (excl. minced)"	17428	13000	17812	21361	18581	12159	15678	14253	15338	12649	17398	17739	16291	11817	11220	12667	20113	18493	12504	14416	
040630	"Processed cheese, not grated or powdered"	36798	29854	34118	31831	29224	28006	31508	21578	23509	25022	25189	21097	22053	14987	17760	20373	11516	16037	15152	13767	
030616	"Frozen cold-water shrimps and prawns "Pandalus spp., Crangon crangon", even smoked, whether ..."	0	0	0	0	0	11934	16945	12673	15945	13310	19340	13967	13788	11109	16032	11473	13476	13179	13211	11601	
330129	"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excl. those of citrus ..."	3550	4292	5558	6216	3939	4394	4100	5108	4355	5580	4951	7282	5822	4837	5881	12215	7780	7049	7167	8362	
240391	"Tobacco, "homogenised" or "reconstituted" from finely-chopped tobacco leaves, tobacco refuse ..."	3456	2028	3339	3312	4284	4369	4411	3151	5128	6794	8246	4500	6781	1539	5683	4776	3935	5249	1252	6977	
151219	"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ..."	2231	341	330	268	1080	681	513	416	317	529	206	147	1183	872	408	567	167	182	2541	6925	
151590	"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ..."	5924	6360	6199	6860	6115	5332	5533	7076	8346	7515	8167	8302	6806	5935	8175	6422	6396	8371	6866	5953	
151000	"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ..."	165	4212	955	66	4669	8589	1220	463	1990	2687	1374	1491	5951	8677	3593	1157	9012	7056	5856	5565	
081190	"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ..."	2184	1450	2074	4045	1077	1844	3287	3046	1089	1828	4462	4473	1715	1817	5986	6267	2716	2927	5801	5370	
030617	"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ..."	0	0	0	0	0	2836	2988	2670	2861	2731	3748	3384	3327	2313	4725	3098	5550	3709	5779	5323	
190240	"Couscous, whether or not prepared"	5641	6941	7967	4935	6121	5603	8582	4027	8335	6819	7823	3878	6957	6953	8142	4869	9394	8588	7139	4904	
200190	"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ..."	3534	3954	3841	3873	3396	2922	3689	3281	3484	3261	3410	3390	4486	3827	4097	4345	4935	4345	3741	4241	
170490	"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)"	8804	9557	11684	10561	11380	8386	6540	6669	9128	9040	8821	7089	8146	8013	6415	5803	7803	6248	4298	3991	
330119	"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excl. ..."	128	26	212	201	25	36	2192	39	375	91	2693	1137	45	37	3172	1140	105	30	2270	3653	
151790	"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ..."	19	0	0	0	0	67	97	48	39	3491	155	2643	4734	8545	3356	52	8	28	2836	3561	
200850	"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ..."	3501	2439	2289	4454	3719	2310	1759	3315	2487	2841	2495	3484	2431	2425	1468	3282	2519	3081	2164	3429	
030631	"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	822	1375	2639	2768	1050	1882	2807	
200210	"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid"	976	959	1206	1040	1061	887	1212	1207	970	1085	1457	1207	995	1530	2295	2321	2257	2427	3229	2744	
081110	"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened"	2353	16747	52871	8307	1420	27160	29574	1994	662	26928	36330	2051	1361	24944	33319	2308	881	32084	56059	2668	
