Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
TOTAL;"All products";1990365;1792098;1739703;1908783;1869782;1660647;1750392;1888059;1918890;1944099;1949105;2070880;2126261;2236155;2137839;2369202;2562075;2440284;
;"Processed food and agro-based products";304941;200588;216606;277342;240431;152765;289112;238560;356753;190941;292707;186166;268179;316476;268491;237349;268122;268923;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";28948;30761;29098;38508;31137;29979;43450;44564;35039;30068;51673;51092;54738;46738;54856;68123;68688;49220;
030759;"Octopus "Octopus spp.", smoked, dried, salted or in brine";72395;57052;59490;85987;88631;19167;122759;63686;177313;41912;109439;31662;73075;97126;93055;45338;36079;40813;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";19744;21110;15004;13989;18634;24349;15386;15028;20840;23487;16147;15344;20067;21518;18699;15022;29413;32448;
160420;"Prepared or preserved fish (excl. whole or in pieces)";6803;8306;7323;6702;5908;7357;7926;7480;7153;8328;7967;9598;11067;13588;10515;11313;12413;14232;
150910;"Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...";179;258;86;122;13;74;26;77;594;56;36;31;12;60;111;5973;17438;14146;
040630;"Processed cheese, not grated or powdered";4295;4243;4726;6114;4612;5158;5420;9206;6969;5913;8190;11283;8975;11043;11467;10798;10312;13234;
030749;"Cuttle fish and squid, smoked, dried, salted or in brine, with or without shell";128628;24515;55403;79604;37081;8254;34048;19733;49239;13606;32304;9253;25846;18072;12871;11555;7591;12852;
081110;"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened";2297;9364;394;7;1213;6676;173;75;2055;11447;553;76;5597;19231;531;76;6276;12381;
160416;"Prepared or preserved anchovies, whole or in pieces (excl. minced)";7507;8380;8139;7489;7839;8884;8553;8724;7900;9350;8376;8905;9745;12640;11671;10964;8289;9597;
160415;"Prepared or preserved mackerel, whole or in pieces (excl. minced)";1922;3265;3402;3470;2168;3448;3848;5423;4495;3252;5419;7230;5887;5941;6384;5666;5301;6868;
150990;"Olive oil "EU cat. 4 and 5" and fractions obtained from the fruit of the olive tree solely ...";33;20;19;14;0;17;0;9;14;133;189;23;0;3;0;1339;11872;5472;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";439;626;977;4765;3420;2270;5867;15889;4371;3497;3317;2912;8491;9013;2278;5979;4652;4491;
